ShipmentID,ShipmentDate,PlannedDeliveryDate,ActualDeliveryDate,ClientID,WarehouseID,ServiceID,WeightKG,VolumeCBM,Revenue_RM,Cost_RM,OnTimeDelivery,Status
SHP00015,2024-01-16,2024-01-17,2024-01-17,C002,WH005,SV04,734.2,4.4,15833.0,9905.84,Yes,Delivered
SHP00016,2024-02-17,2024-02-21,2024-02-21,C001,WH004,SV03,4722.9,11.9,27183.99,18510.2,Yes,Delivered
SHP00017,2024-04-21,2024-04-28,2024-04-28,C008,WH004,SV06,4611.9,16.56,7654.78,5074.51,Yes,Delivered
SHP00018,2024-04-29,2024-05-01,2024-05-01,C006,WH002,SV05,1946.8,9.01,13483.35,8850.74,Yes,Delivered
SHP00019,2024-09-15,2024-09-16,2024-09-19,C006,WH001,SV02,2769.2,12.81,32969.69,18429.71,No,Delivered
SHP00020,2024-11-04,2024-11-05,2024-11-07,C001,WH002,SV04,2716.8,6.26,35239.51,20120.13,No,Delivered
SHP00021,2024-01-14,2024-01-19,2024-01-19,C001,WH002,SV04,2488.4,14.32,30265.58,21145.01,Yes,Delivered
SHP00022,2024-10-14,2024-10-21,2024-10-21,C002,WH003,SV04,2704.3,7.64,8463.9,6443.96,Yes,Delivered
SHP00023,2024-04-11,2024-04-17,2024-04-17,C001,WH003,SV02,1189.1,5.73,27948.68,17600.96,Yes,Delivered
SHP00024,2024-11-28,2024-12-02,2024-12-02,C003,WH002,SV06,463.9,2.44,20233.28,15049.66,Yes,Delivered
SHP00025,2024-12-25,2024-12-31,2024-12-31,C001,WH002,SV02,3588.9,20.06,42455.57,31087.66,Yes,Delivered
SHP00026,2024-10-06,2024-10-11,2024-10-11,C003,WH005,SV02,2658.4,14.45,21962.58,14054.97,Yes,Delivered
SHP00027,2024-08-02,2024-08-04,2024-08-04,C004,WH003,SV01,3894.1,14.7,39687.25,29344.31,Yes,Delivered
SHP00028,2024-04-22,2024-04-25,2024-04-25,C002,WH004,SV04,4065.9,13.06,8607.41,6416.52,Yes,In Transit
SHP00029,2024-08-17,2024-08-24,2024-08-24,C003,WH004,SV03,1135.7,3.94,10286.12,6639.3,Yes,In Transit
SHP00030,2024-10-28,2024-10-29,2024-10-29,C006,WH004,SV01,481.9,2.03,27906.86,16501.41,Yes,Delivered
SHP00031,2024-05-22,2024-05-24,2024-05-24,C002,WH002,SV02,1840.5,10.08,16758.38,11598.13,Yes,Delivered
SHP00032,2024-01-04,2024-01-06,2024-01-06,C001,WH001,SV04,1056.2,3.14,14835.49,9633.84,Yes,Delivered
SHP00033,2024-03-22,2024-03-26,2024-03-26,C005,WH002,SV04,4260.4,23.74,6544.76,4178.65,Yes,Delivered
SHP00034,2024-12-23,2024-12-24,2024-12-24,C003,WH001,SV03,1843.9,6.04,18439.18,12936.71,Yes,Delivered
SHP00035,2024-08-04,2024-08-10,2024-08-10,C006,WH005,SV06,2395.9,9.98,19526.76,13876.89,Yes,Delivered
SHP00036,2024-06-23,2024-06-28,2024-06-28,C004,WH004,SV06,711.3,1.72,18847.44,10780.22,Yes,Delivered
SHP00037,2024-05-22,2024-05-25,2024-05-25,C005,WH001,SV05,595.3,2.02,38056.52,27046.32,Yes,Delivered
SHP00038,2024-03-20,2024-03-27,2024-03-27,C002,WH003,SV04,4561.2,16.62,26956.4,15096.74,Yes,Delivered
SHP00039,2024-04-20,2024-04-26,2024-04-26,C006,WH003,SV01,1836.2,10.65,3870.85,2917.36,Yes,Delivered
SHP00040,2024-06-21,2024-06-22,2024-06-22,C004,WH004,SV01,4254.2,16.78,3964.74,2324.62,Yes,Processing
SHP00041,2024-02-22,2024-02-23,2024-02-23,C006,WH002,SV05,3904.3,9.03,26458.26,19922.75,Yes,In Transit
SHP00042,2024-02-17,2024-02-20,2024-02-20,C008,WH001,SV02,739.8,4.18,28704.13,19337.39,Yes,Delivered
SHP00043,2024-07-13,2024-07-19,2024-07-19,C004,WH001,SV05,2328.9,12.5,12605.7,8865.98,Yes,Delivered
SHP00044,2024-02-19,2024-02-21,2024-02-21,C002,WH003,SV02,4184.5,17.09,6737.02,3808.78,Yes,Delivered
SHP00045,2024-07-02,2024-07-08,2024-07-08,C005,WH001,SV03,2779.9,8.95,22421.85,16078.79,Yes,Processing
SHP00046,2024-06-25,2024-06-30,2024-06-30,C001,WH003,SV02,4660.1,19.63,13994.89,10601.32,Yes,Delivered
SHP00047,2024-11-05,2024-11-12,2024-11-12,C008,WH005,SV01,2134.3,5.32,38776.9,29432.03,Yes,Delivered
SHP00048,2024-05-15,2024-05-16,2024-05-16,C008,WH002,SV01,1093.1,5.36,5090.88,3281.55,Yes,Delivered
SHP00049,2024-01-23,2024-01-25,2024-01-25,C002,WH004,SV04,1161.7,5.98,28956.17,20999.82,Yes,Delivered
SHP00050,2024-08-23,2024-08-27,2024-08-27,C008,WH003,SV03,3747.6,8.03,28216.49,16305.83,Yes,Delivered
SHP00051,2024-10-01,2024-10-03,2024-10-03,C006,WH004,SV04,630.3,1.85,9268.55,5883.75,Yes,Delivered
SHP00052,2024-03-04,2024-03-07,2024-03-07,C004,WH004,SV02,3494.1,13.14,43237.38,31292.68,Yes,Delivered
SHP00053,2024-07-12,2024-07-17,2024-07-17,C002,WH003,SV01,758.2,3.83,10145.16,6756.79,Yes,Delivered
SHP00054,2024-02-10,2024-02-17,2024-02-17,C008,WH004,SV01,3678.8,21.38,26824.2,19562.55,Yes,Delivered
SHP00055,2024-10-09,2024-10-15,2024-10-17,C007,WH002,SV04,3495.8,7.29,3592.83,2314.94,No,In Transit
SHP00056,2024-05-30,2024-06-06,2024-06-06,C001,WH001,SV03,2152.3,11.5,25085.18,14747.9,Yes,Delivered
SHP00057,2024-11-17,2024-11-20,2024-11-20,C003,WH003,SV02,317.7,0.98,35481.09,21206.89,Yes,Delivered
SHP00058,2024-11-12,2024-11-19,2024-11-19,C003,WH001,SV05,574.7,2.5,41987.96,23524.43,Yes,Delivered
SHP00059,2024-07-04,2024-07-08,2024-07-08,C002,WH005,SV01,2929.0,9.38,37744.81,20991.59,Yes,Delivered
SHP00060,2024-10-22,2024-10-28,2024-10-28,C006,WH005,SV06,2410.3,14.13,23754.26,16555.28,Yes,Delivered
SHP00061,2024-04-08,2024-04-10,2024-04-10,C001,WH005,SV02,2989.9,6.69,12428.33,8766.86,Yes,Delivered
SHP00062,2024-12-26,2024-12-27,2024-12-29,C007,WH003,SV06,833.0,4.51,11532.11,7567.81,No,Delivered
SHP00063,2024-02-05,2024-02-11,2024-02-13,C003,WH004,SV05,777.1,2.75,42734.2,26881.58,No,Delivered
SHP00064,2024-01-24,2024-01-28,2024-01-28,C001,WH001,SV06,749.3,1.56,37163.32,23853.23,Yes,Delivered
SHP00065,2024-12-04,2024-12-07,2024-12-07,C007,WH004,SV01,1263.0,4.46,14180.52,8433.34,Yes,Delivered
SHP00066,2024-04-26,2024-05-02,2024-05-02,C006,WH001,SV05,111.8,0.42,34350.61,19191.28,Yes,Delivered
SHP00067,2024-05-28,2024-05-30,2024-05-30,C008,WH001,SV01,4163.8,12.07,19047.09,11573.76,Yes,Delivered
SHP00068,2024-02-10,2024-02-13,2024-02-13,C008,WH001,SV01,2111.6,7.43,21114.96,15056.93,Yes,Delivered
SHP00069,2024-04-29,2024-04-30,2024-04-30,C006,WH003,SV02,3838.8,17.81,11677.45,6789.16,Yes,Delivered
SHP00070,2024-02-21,2024-02-25,2024-02-25,C007,WH001,SV06,2375.3,9.81,12053.8,8487.9,Yes,Delivered
SHP00071,2024-07-13,2024-07-19,2024-07-19,C008,WH001,SV02,743.6,3.45,37611.73,24702.5,Yes,Delivered
SHP00072,2024-05-22,2024-05-26,2024-05-26,C006,WH001,SV01,2660.9,5.66,33521.74,21994.02,Yes,Delivered
SHP00073,2024-08-20,2024-08-25,2024-08-25,C002,WH003,SV02,4746.4,23.98,10953.25,6232.25,Yes,Delivered
SHP00074,2024-11-21,2024-11-24,2024-11-24,C007,WH001,SV01,2377.4,13.67,10575.53,7414.66,Yes,Delivered
SHP00075,2024-07-05,2024-07-10,2024-07-10,C002,WH003,SV04,3626.7,20.46,36283.47,25910.89,Yes,Delivered
SHP00076,2024-03-24,2024-03-30,2024-03-30,C002,WH005,SV03,2247.7,11.28,4208.47,2738.35,Yes,Delivered
SHP00077,2024-07-08,2024-07-12,2024-07-12,C002,WH005,SV01,3242.0,10.84,43997.38,28962.65,Yes,Delivered
SHP00078,2024-06-30,2024-07-02,2024-07-02,C006,WH003,SV04,115.4,0.61,12890.4,7917.32,Yes,Delivered
SHP00079,2024-04-17,2024-04-22,2024-04-22,C006,WH001,SV04,600.8,1.83,21941.02,12881.89,Yes,Delivered
SHP00080,2024-12-09,2024-12-11,2024-12-11,C006,WH003,SV01,347.0,1.74,13429.35,9976.05,Yes,Delivered
SHP00081,2024-05-16,2024-05-21,2024-05-21,C001,WH002,SV02,3230.1,9.26,27481.93,18951.74,Yes,Delivered
SHP00082,2024-12-25,2024-12-28,2024-12-28,C001,WH001,SV02,3040.7,6.41,30183.89,17831.57,Yes,Delivered
SHP00083,2024-12-15,2024-12-18,2024-12-18,C005,WH004,SV02,909.2,4.46,6601.02,3819.05,Yes,Delivered
SHP00084,2024-11-27,2024-12-03,2024-12-03,C001,WH003,SV02,843.7,3.78,22693.03,16351.07,Yes,Delivered
SHP00085,2024-02-06,2024-02-10,2024-02-11,C006,WH002,SV01,2012.1,10.99,39600.63,23314.64,No,Delivered
SHP00086,2024-11-07,2024-11-10,2024-11-10,C001,WH003,SV03,2146.9,11.01,43924.77,30941.5,Yes,Delivered
SHP00087,2024-11-21,2024-11-28,2024-11-28,C003,WH004,SV04,4743.8,27.11,19697.3,10884.3,Yes,In Transit
SHP00088,2024-03-28,2024-04-04,2024-04-04,C001,WH002,SV06,2298.8,11.52,11913.14,7300.94,Yes,Delivered
SHP00089,2024-09-30,2024-10-05,2024-10-05,C008,WH005,SV05,3571.5,18.68,19106.81,12445.25,Yes,Delivered
SHP00090,2024-05-05,2024-05-12,2024-05-12,C003,WH001,SV04,1327.4,5.59,20778.22,12278.4,Yes,Delivered
SHP00091,2024-03-24,2024-03-29,2024-03-29,C003,WH005,SV03,2881.7,16.74,28082.23,20059.55,Yes,Delivered
SHP00092,2024-08-24,2024-08-26,2024-08-26,C002,WH003,SV01,1564.9,8.97,6068.34,4583.53,Yes,Delivered
SHP00093,2024-07-13,2024-07-14,2024-07-14,C006,WH001,SV01,1175.2,3.7,26394.0,17748.08,Yes,Delivered
SHP00094,2024-05-18,2024-05-23,2024-05-23,C007,WH003,SV04,4660.7,27.79,5188.73,3381.36,Yes,Delivered
SHP00095,2024-11-23,2024-11-25,2024-11-28,C003,WH002,SV01,1395.5,5.78,42104.71,23620.06,No,Delivered
SHP00096,2024-12-18,2024-12-22,2024-12-23,C004,WH002,SV05,505.1,1.87,22779.16,15854.34,No,Delivered
SHP00097,2024-10-12,2024-10-15,2024-10-15,C002,WH004,SV02,1918.9,9.36,17880.67,11984.72,Yes,Delivered
SHP00098,2024-04-22,2024-04-29,2024-04-29,C001,WH001,SV01,4757.8,24.15,28467.73,19995.28,Yes,Delivered
SHP00099,2024-12-16,2024-12-19,2024-12-19,C008,WH005,SV03,3728.5,11.34,31173.24,21877.67,Yes,Delivered
SHP00100,2024-06-15,2024-06-20,2024-06-20,C008,WH003,SV02,2032.0,11.87,36694.44,21049.49,Yes,In Transit
SHP00101,2024-01-29,2024-02-01,2024-02-01,C008,WH001,SV01,327.2,1.27,32801.77,23249.23,Yes,Delivered
SHP00102,2024-04-27,2024-05-01,2024-05-03,C002,WH004,SV01,1991.8,11.89,37013.82,24137.34,No,Delivered
SHP00103,2024-01-17,2024-01-18,2024-01-18,C007,WH002,SV06,4121.4,12.17,3225.16,2217.58,Yes,In Transit
SHP00104,2024-06-10,2024-06-17,2024-06-17,C007,WH004,SV02,4881.1,27.48,24190.76,13575.68,Yes,Delivered
SHP00105,2024-07-24,2024-07-30,2024-07-30,C004,WH001,SV03,3045.2,9.51,18999.38,12098.82,Yes,Delivered
SHP00106,2024-05-17,2024-05-22,2024-05-22,C001,WH005,SV03,432.2,2.04,44056.0,26274.99,Yes,Delivered
SHP00107,2024-02-03,2024-02-07,2024-02-09,C006,WH003,SV02,3477.5,10.77,31193.0,18947.59,No,Delivered
SHP00108,2024-04-18,2024-04-24,2024-04-24,C002,WH001,SV04,2413.2,14.47,8554.01,6492.61,Yes,Delivered
SHP00109,2024-10-17,2024-10-19,2024-10-19,C006,WH002,SV01,3280.9,16.68,40473.49,24122.07,Yes,In Transit
SHP00110,2024-06-10,2024-06-11,2024-06-11,C006,WH002,SV06,2055.2,6.54,4727.25,2617.43,Yes,Delivered
SHP00111,2024-04-18,2024-04-23,2024-04-23,C003,WH003,SV03,1933.3,8.28,10533.63,5861.2,Yes,Delivered
SHP00112,2024-12-01,2024-12-08,2024-12-08,C007,WH003,SV04,320.6,0.69,10134.39,5607.85,Yes,In Transit
SHP00113,2024-09-12,2024-09-15,2024-09-15,C005,WH004,SV01,1888.8,5.85,23699.27,17507.15,Yes,Processing
SHP00114,2024-07-21,2024-07-28,2024-07-28,C001,WH001,SV06,2149.9,6.61,17245.42,12182.0,Yes,Delivered
SHP00115,2024-11-25,2024-11-30,2024-11-30,C003,WH004,SV05,1386.1,4.16,22659.56,12791.99,Yes,Delivered
SHP00116,2024-08-22,2024-08-24,2024-08-24,C002,WH003,SV01,566.8,2.61,6765.22,5212.68,Yes,Delivered
SHP00117,2024-03-14,2024-03-17,2024-03-17,C001,WH002,SV01,1845.4,9.39,32830.73,18786.36,Yes,Delivered
SHP00118,2024-05-15,2024-05-21,2024-05-21,C003,WH005,SV06,3905.0,8.0,21183.05,15720.76,Yes,Delivered
SHP00119,2024-03-12,2024-03-13,2024-03-13,C006,WH005,SV01,1710.6,5.52,13937.05,9794.19,Yes,In Transit
SHP00120,2024-05-06,2024-05-12,2024-05-12,C002,WH005,SV01,1235.7,5.74,16157.32,11577.09,Yes,Delivered
SHP00121,2024-10-14,2024-10-19,2024-10-19,C003,WH005,SV03,855.7,4.57,44097.7,24700.13,Yes,In Transit
SHP00122,2024-10-02,2024-10-09,2024-10-09,C006,WH001,SV01,577.0,3.11,23966.85,16006.86,Yes,Delivered
SHP00123,2024-05-14,2024-05-18,2024-05-20,C003,WH005,SV04,1099.0,4.15,43881.6,32366.79,No,Delivered
SHP00124,2024-10-26,2024-10-28,2024-10-31,C006,WH004,SV04,104.3,0.22,14802.03,9239.67,No,Delivered
SHP00125,2024-08-07,2024-08-12,2024-08-12,C004,WH003,SV02,4553.0,9.27,18144.87,12595.46,Yes,Delivered
SHP00126,2024-10-25,2024-10-31,2024-10-31,C005,WH002,SV04,979.3,2.1,21063.61,14611.3,Yes,Delivered
SHP00127,2024-07-23,2024-07-27,2024-07-28,C008,WH005,SV04,1048.5,3.6,40917.29,31297.44,No,Delivered
SHP00128,2024-07-04,2024-07-11,2024-07-11,C003,WH004,SV04,4649.5,21.16,14055.09,9007.41,Yes,Delivered
SHP00129,2024-04-22,2024-04-27,2024-04-27,C005,WH002,SV03,1239.7,5.24,37842.75,24537.71,Yes,Delivered
SHP00130,2024-03-11,2024-03-13,2024-03-13,C006,WH003,SV01,470.9,1.71,41922.11,25298.06,Yes,Delivered
SHP00131,2024-09-17,2024-09-22,2024-09-24,C006,WH003,SV01,2872.1,12.4,24712.85,14193.91,No,Delivered
SHP00132,2024-09-09,2024-09-12,2024-09-12,C004,WH001,SV05,272.1,0.63,21302.57,13300.78,Yes,Delivered
SHP00133,2024-02-16,2024-02-19,2024-02-19,C006,WH005,SV01,4933.1,27.57,9929.32,5495.37,Yes,Delivered
SHP00134,2024-01-25,2024-01-29,2024-01-29,C006,WH001,SV01,2444.8,10.28,33948.51,23778.16,Yes,Delivered
SHP00135,2024-02-26,2024-03-03,2024-03-03,C001,WH001,SV02,287.8,1.67,23633.54,13063.57,Yes,Delivered
SHP00136,2024-03-19,2024-03-22,2024-03-22,C001,WH001,SV01,511.4,1.92,42902.13,25695.66,Yes,Delivered
SHP00137,2024-11-17,2024-11-18,2024-11-18,C001,WH004,SV01,1577.6,4.78,26338.34,15819.39,Yes,Delivered
SHP00138,2024-03-22,2024-03-23,2024-03-23,C008,WH004,SV04,4903.7,25.24,41759.82,29287.46,Yes,Delivered
SHP00139,2024-12-14,2024-12-19,2024-12-19,C001,WH005,SV01,3770.8,11.46,29739.39,18261.33,Yes,Delivered
SHP00140,2024-08-04,2024-08-10,2024-08-10,C002,WH002,SV04,4795.8,19.09,21479.56,14896.06,Yes,Delivered
SHP00141,2024-11-01,2024-11-02,2024-11-02,C005,WH003,SV01,2526.1,7.35,10934.64,6124.56,Yes,In Transit
SHP00142,2024-02-02,2024-02-03,2024-02-03,C003,WH003,SV02,1606.6,4.33,5291.82,3988.21,Yes,Delivered
SHP00143,2024-07-16,2024-07-23,2024-07-23,C003,WH004,SV01,1983.7,10.88,10691.94,6891.51,Yes,Delivered
SHP00144,2024-07-14,2024-07-16,2024-07-16,C008,WH004,SV03,1811.4,8.38,22750.4,16528.97,Yes,Delivered
SHP00145,2024-11-01,2024-11-03,2024-11-03,C006,WH003,SV04,691.1,2.03,9869.31,6562.13,Yes,Delivered
SHP00146,2024-08-27,2024-09-03,2024-09-03,C005,WH002,SV04,3389.7,15.66,22619.58,17593.71,Yes,Processing
SHP00147,2024-09-27,2024-09-28,2024-09-28,C005,WH004,SV02,1690.0,4.63,7873.01,5620.4,Yes,Delivered
SHP00148,2024-05-08,2024-05-10,2024-05-10,C006,WH004,SV05,4487.7,18.07,40597.36,29716.85,Yes,Delivered
SHP00149,2024-10-10,2024-10-11,2024-10-11,C008,WH004,SV03,2542.7,9.56,23786.25,18127.77,Yes,Processing
SHP00150,2024-01-06,2024-01-10,2024-01-10,C006,WH001,SV04,2535.8,8.29,21543.83,14669.56,Yes,Delivered
SHP00151,2024-12-14,2024-12-16,2024-12-16,C007,WH004,SV01,3886.5,16.38,44530.38,27072.08,Yes,Delivered
SHP00152,2024-02-28,2024-02-29,2024-02-29,C005,WH002,SV04,167.2,0.49,26555.89,15184.43,Yes,Delivered
SHP00153,2024-12-15,2024-12-16,2024-12-16,C008,WH001,SV03,3990.5,23.17,22225.91,13882.34,Yes,Delivered
SHP00154,2024-10-01,2024-10-06,2024-10-09,C002,WH001,SV04,2410.9,14.39,7724.62,5369.39,No,Delivered
SHP00155,2024-05-16,2024-05-22,2024-05-25,C006,WH001,SV04,4350.6,25.67,33230.09,21246.32,No,Delivered
SHP00156,2024-11-24,2024-12-01,2024-12-01,C002,WH003,SV05,235.2,0.49,9218.26,7030.28,Yes,Delivered
SHP00157,2024-06-23,2024-06-27,2024-06-27,C004,WH003,SV06,848.1,4.56,17683.38,12863.31,Yes,Delivered
SHP00158,2024-02-27,2024-03-04,2024-03-04,C002,WH003,SV02,3427.8,18.5,11556.82,6709.59,Yes,Delivered
SHP00159,2024-05-30,2024-06-03,2024-06-03,C003,WH005,SV02,439.8,1.83,14932.89,8815.28,Yes,In Transit
SHP00160,2024-08-10,2024-08-15,2024-08-16,C008,WH002,SV01,3148.5,6.86,38068.05,27606.75,No,In Transit
SHP00161,2024-03-21,2024-03-26,2024-03-26,C003,WH003,SV03,4766.5,14.01,34497.34,24429.42,Yes,Delivered
SHP00162,2024-08-20,2024-08-26,2024-08-26,C008,WH004,SV06,1196.3,2.91,37548.01,29097.64,Yes,Delivered
SHP00163,2024-01-02,2024-01-07,2024-01-07,C006,WH003,SV04,1117.5,4.5,26656.39,18746.51,Yes,Delivered
SHP00164,2024-05-14,2024-05-17,2024-05-17,C001,WH001,SV03,3423.2,8.4,30851.78,17447.55,Yes,Processing
SHP00165,2024-09-13,2024-09-14,2024-09-14,C002,WH003,SV01,747.3,1.73,11920.64,6604.74,Yes,Delivered
SHP00166,2024-04-01,2024-04-04,2024-04-04,C008,WH002,SV01,3606.8,10.16,44916.19,34126.59,Yes,Delivered
SHP00167,2024-09-16,2024-09-18,2024-09-18,C008,WH001,SV01,4967.4,21.27,3173.28,2072.94,Yes,Delivered
SHP00168,2024-02-24,2024-02-29,2024-02-29,C007,WH003,SV01,2533.0,13.47,35207.6,23502.34,Yes,Delivered
SHP00169,2024-11-16,2024-11-22,2024-11-22,C001,WH002,SV03,4961.8,23.44,10583.89,7626.93,Yes,In Transit
SHP00170,2024-06-01,2024-06-02,2024-06-02,C002,WH004,SV03,3063.3,7.0,41657.35,27734.91,Yes,In Transit
SHP00171,2024-11-23,2024-11-24,2024-11-24,C006,WH002,SV06,2640.3,9.78,13338.61,9497.95,Yes,Delivered
SHP00172,2024-09-16,2024-09-18,2024-09-18,C008,WH001,SV04,3854.7,12.07,23920.65,13229.48,Yes,Delivered
SHP00173,2024-11-07,2024-11-13,2024-11-13,C001,WH001,SV01,2265.0,4.75,6960.82,3862.41,Yes,Delivered
SHP00174,2024-04-11,2024-04-15,2024-04-15,C003,WH002,SV04,699.4,3.1,16803.63,12175.18,Yes,Delivered
SHP00175,2024-03-19,2024-03-26,2024-03-26,C008,WH002,SV06,1489.7,5.13,14939.81,8643.17,Yes,Delivered
SHP00176,2024-07-10,2024-07-11,2024-07-11,C006,WH004,SV04,3136.2,18.5,44216.05,26722.91,Yes,Delivered
SHP00177,2024-03-23,2024-03-27,2024-03-27,C002,WH001,SV02,4703.7,26.29,8123.62,5268.61,Yes,Delivered
SHP00178,2024-10-03,2024-10-10,2024-10-10,C007,WH002,SV06,248.1,0.87,18689.45,11326.1,Yes,In Transit
SHP00179,2024-09-28,2024-10-04,2024-10-04,C005,WH002,SV01,3578.2,20.65,42024.23,23880.67,Yes,Delivered
SHP00180,2024-01-01,2024-01-02,2024-01-02,C005,WH001,SV01,3430.2,10.9,7454.94,4336.07,Yes,Delivered
SHP00181,2024-11-02,2024-11-05,2024-11-05,C007,WH005,SV05,1233.6,2.62,16588.61,11026.57,Yes,Delivered
SHP00182,2024-06-14,2024-06-19,2024-06-19,C002,WH002,SV05,4985.2,17.31,4212.73,2512.74,Yes,Delivered
SHP00183,2024-09-07,2024-09-13,2024-09-13,C006,WH004,SV05,3054.0,9.66,22329.79,14211.17,Yes,Delivered
SHP00184,2024-01-10,2024-01-14,2024-01-16,C006,WH001,SV02,4792.2,12.46,32723.68,22830.3,No,Delivered
SHP00185,2024-02-27,2024-03-05,2024-03-05,C005,WH001,SV04,2856.2,12.47,23153.91,14002.44,Yes,Delivered
SHP00186,2024-07-04,2024-07-07,2024-07-07,C002,WH002,SV02,4972.3,12.06,29390.98,21068.07,Yes,Delivered
SHP00187,2024-06-06,2024-06-13,2024-06-13,C008,WH003,SV01,532.2,1.51,14311.37,11125.18,Yes,Delivered
SHP00188,2024-05-02,2024-05-08,2024-05-08,C008,WH003,SV05,124.0,0.4,30636.26,19976.59,Yes,Delivered
SHP00189,2024-01-30,2024-01-31,2024-01-31,C005,WH001,SV05,3843.3,18.69,16835.93,12657.02,Yes,Delivered
SHP00190,2024-05-03,2024-05-10,2024-05-10,C006,WH001,SV01,1582.2,7.86,4841.57,2812.38,Yes,Delivered
SHP00191,2024-10-17,2024-10-22,2024-10-22,C001,WH003,SV01,4344.3,22.3,29139.32,18154.78,Yes,In Transit
SHP00192,2024-02-10,2024-02-13,2024-02-13,C007,WH003,SV04,3997.0,19.39,22030.28,16104.21,Yes,Delivered
SHP00193,2024-02-13,2024-02-18,2024-02-19,C001,WH004,SV02,4480.9,25.81,42791.57,23925.18,No,Delivered
SHP00194,2024-09-05,2024-09-06,2024-09-06,C003,WH005,SV05,2519.6,8.86,44992.49,32939.42,Yes,Delivered
SHP00195,2024-02-05,2024-02-11,2024-02-12,C006,WH001,SV06,2301.3,9.97,41088.89,26519.82,No,Delivered
SHP00196,2024-09-29,2024-09-30,2024-09-30,C005,WH002,SV01,890.1,4.12,36475.41,26879.58,Yes,Delivered
SHP00197,2024-03-05,2024-03-12,2024-03-12,C001,WH004,SV04,1513.3,3.94,8431.45,6092.79,Yes,Delivered
SHP00198,2024-03-06,2024-03-09,2024-03-09,C002,WH004,SV02,387.4,1.96,39257.71,23659.53,Yes,Processing
SHP00199,2024-12-03,2024-12-04,2024-12-05,C001,WH003,SV02,2903.7,13.35,36665.43,26346.34,No,Delivered
SHP00200,2024-08-31,2024-09-02,2024-09-02,C003,WH005,SV01,1799.2,10.47,14884.07,9359.51,Yes,Delivered
SHP00201,2024-10-08,2024-10-13,2024-10-13,C001,WH001,SV02,402.1,2.35,36522.17,21816.08,Yes,Delivered
SHP00202,2024-03-25,2024-03-26,2024-03-26,C001,WH003,SV02,3567.7,21.3,34239.6,19257.62,Yes,Delivered
SHP00203,2024-05-15,2024-05-16,2024-05-17,C004,WH004,SV05,2330.7,9.93,25980.56,19772.92,No,Delivered
SHP00204,2024-09-27,2024-10-03,2024-10-03,C003,WH001,SV04,4931.4,29.55,28296.24,21995.42,Yes,Delivered
SHP00205,2024-11-06,2024-11-08,2024-11-08,C005,WH002,SV02,4893.5,22.12,6887.14,5057.46,Yes,Delivered
SHP00206,2024-08-04,2024-08-09,2024-08-09,C004,WH002,SV02,3827.6,18.89,13716.88,9740.96,Yes,Delivered
SHP00207,2024-04-18,2024-04-22,2024-04-22,C002,WH001,SV05,2238.1,9.3,13083.37,7865.23,Yes,Delivered
SHP00208,2024-10-03,2024-10-05,2024-10-05,C005,WH001,SV01,4624.6,11.49,35376.85,26558.19,Yes,Delivered
SHP00209,2024-12-19,2024-12-21,2024-12-21,C006,WH002,SV01,4702.2,25.93,19754.52,13234.31,Yes,Delivered
SHP00210,2024-04-12,2024-04-17,2024-04-17,C008,WH002,SV04,4859.8,25.24,3861.51,2286.85,Yes,Delivered
