BatchID,WaferID,MachineID,Die_X,Die_Y,Result,DefectType
BATCH_A1,W_1,AMAT_DEP_02,6.9,4.87,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.94,-0.89,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.8,-8.01,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,6.92,4.78,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.73,2.89,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.71,-6.45,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.18,-8.47,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.99,9.6,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.11,8.91,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,2.0,-1.7,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.7,6.1,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.16,1.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.64,2.62,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.77,-3.21,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.4,2.71,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,7.78,3.95,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,4.67,5.01,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.05,4.64,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.48,0.5,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.64,1.3,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.74,0.41,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.67,0.35,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.38,-8.74,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.07,8.19,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-2.1,-2.53,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.91,-8.26,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.32,1.26,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.66,1.67,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.32,-8.27,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.43,0.02,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-1.62,-2.51,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.85,-6.83,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.66,3.09,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.15,-5.78,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.41,7.41,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.52,3.79,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.13,-1.93,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.33,0.91,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.16,9.13,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.46,8.37,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.91,-1.52,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-7.38,6.64,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.38,6.87,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.24,2.31,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,-8.23,-1.1,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.01,3.02,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.38,1.57,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,7.93,-4.01,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.33,1.7,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.62,-9.03,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,-6.4,-7.14,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-5.4,-7.2,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.84,-4.3,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.25,-7.26,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.69,6.55,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.16,-6.41,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.24,-6.8,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.27,5.56,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-5.24,1.2,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,-9.09,0.0,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.98,2.01,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.55,-7.48,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.75,7.86,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.61,-4.07,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.83,2.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.95,7.84,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-5.73,3.4,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.94,2.56,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,0.43,8.92,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,0.38,1.81,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.51,8.89,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.17,0.58,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.33,4.7,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.92,-2.99,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.32,-2.56,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,6.68,-6.62,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.41,3.81,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.27,-1.7,1,None
BATCH_A1,W_1,AMAT_DEP_02,9.15,-3.9,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.96,-6.94,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.35,-2.1,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.42,7.99,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.1,-3.55,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.24,3.38,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.42,1.57,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.37,-7.27,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.44,1.99,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.66,-9.63,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.07,0.01,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.35,-4.14,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.53,-8.8,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,4.96,-0.84,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.07,-6.8,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.74,-6.14,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.99,9.04,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-3.54,2.61,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.51,-3.77,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.26,7.07,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.71,-3.9,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.48,1.74,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.84,-4.88,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.0,-5.07,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.86,0.07,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.27,1.45,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-7.0,-2.88,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.28,-7.9,1,None
BATCH_A1,W_1,AMAT_DEP_02,-9.56,0.12,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.74,1.23,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.59,-3.72,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.14,-5.92,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.41,-1.53,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.74,7.54,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.56,1.18,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.52,7.35,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.14,-6.91,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.66,-7.97,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.64,-7.27,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.26,-5.24,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,4.84,3.78,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.61,-8.59,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.12,-6.88,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.42,9.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.36,4.91,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.86,-9.19,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.35,-6.48,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.84,2.77,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.03,0.49,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,6.35,1.09,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.36,-5.49,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.03,1.18,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.37,8.73,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.26,0.8,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.96,-6.69,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-2.98,-1.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.55,-6.54,1,None
BATCH_A1,W_1,AMAT_DEP_02,-9.6,-0.31,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,3.32,9.17,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.93,-0.14,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.19,-4.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.94,1.32,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.54,-4.78,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.09,-4.0,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.61,-0.88,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,6.97,2.12,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.44,0.83,1,None
BATCH_A1,W_1,AMAT_DEP_02,9.01,3.5,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.52,-4.05,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.51,0.3,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.31,8.38,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.96,9.04,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.88,-1.65,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.26,2.07,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.98,-5.19,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-6.23,-2.93,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,2.22,8.57,1,None
BATCH_A1,W_1,AMAT_DEP_02,9.85,-0.32,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.04,-5.13,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.25,-5.62,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.74,2.51,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.52,-3.02,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.89,9.13,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,8.68,1.67,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.84,9.02,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.97,0.61,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.23,1.63,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.11,4.13,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.64,-1.56,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.62,8.02,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.72,2.61,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.42,1.37,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.98,-2.05,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.74,-3.74,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.49,-3.89,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.59,-0.04,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,0.48,-6.19,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.38,-9.09,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.27,7.87,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.19,8.05,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.01,-6.42,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.27,-3.29,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,2.45,-9.48,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-0.33,-7.05,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.92,-5.62,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.79,-7.46,1,None
BATCH_A1,W_1,AMAT_DEP_02,9.52,-1.29,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,6.38,-7.47,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.27,-0.55,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.7,3.64,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.15,3.82,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.59,-0.46,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.44,-1.33,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.28,6.05,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.51,4.96,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.62,-5.0,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.98,-7.64,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.45,2.34,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.25,-7.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.76,-2.98,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.44,-7.0,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-5.16,3.5,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.66,-2.35,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,-5.53,-6.21,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.3,-4.14,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.69,5.5,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.87,1.56,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.76,-0.99,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.84,-4.31,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.34,2.41,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.75,7.65,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.44,1.27,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.62,1.8,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.31,-3.48,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.35,0.71,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.15,0.95,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.27,-2.23,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.03,-7.53,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,1.89,-1.05,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.59,2.45,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.96,-9.1,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.32,-6.22,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.0,-2.82,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.25,0.0,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.29,-0.66,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,6.04,5.71,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.7,-5.87,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.41,4.18,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.98,-4.16,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,7.22,-5.31,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-3.13,3.85,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.33,-0.95,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.75,-6.35,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.23,-5.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.37,-0.57,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.71,-4.5,1,None
BATCH_A1,W_1,AMAT_DEP_02,-9.53,0.9,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,6.32,-4.01,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.41,9.72,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,5.88,-7.05,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,0.95,-1.7,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,-2.43,-2.18,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.29,-3.68,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.26,-2.04,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.53,0.55,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.9,-3.57,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.98,7.87,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,-4.67,0.59,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.93,-6.06,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,-7.31,-5.37,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.54,1.1,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.85,7.2,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.75,-8.8,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,-3.45,4.8,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.86,0.08,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.03,-1.0,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.75,-0.7,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.08,7.81,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.58,-1.28,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.7,4.92,1,None
BATCH_A1,W_1,AMAT_DEP_02,9.61,1.98,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.86,4.21,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.06,0.07,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-3.38,8.66,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,6.91,-6.18,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.87,7.0,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.87,1.49,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.91,7.36,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.17,-9.42,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.88,-6.79,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.12,-6.6,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.91,-1.45,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.38,-0.42,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.22,4.68,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.04,0.08,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.26,6.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.9,7.16,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.14,0.23,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.33,-4.5,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.61,4.27,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.74,-3.93,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.53,-1.3,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.15,4.93,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.73,2.6,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,7.04,-3.72,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.32,2.19,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.65,7.23,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,2.96,-3.56,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.87,6.37,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.28,-0.04,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.57,-4.31,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.48,-9.59,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.72,-1.12,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.51,2.12,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.14,-4.24,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.61,-2.03,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.47,4.26,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.04,-3.53,1,None
BATCH_A1,W_1,AMAT_DEP_02,-3.53,-2.01,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.16,1.29,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.21,-1.08,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.7,-3.89,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.53,0.9,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.17,-2.2,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.22,8.11,1,None
BATCH_A1,W_1,AMAT_DEP_02,8.89,-0.89,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.55,-0.97,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.39,1.93,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.01,-1.78,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.92,-7.75,0,Photo_Error
BATCH_A1,W_1,AMAT_DEP_02,-6.69,-2.15,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.76,3.96,0,Particle
BATCH_A1,W_1,AMAT_DEP_02,1.96,8.8,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.91,2.49,1,None
BATCH_A1,W_1,AMAT_DEP_02,-8.48,-2.32,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.25,3.43,1,None
BATCH_A1,W_1,AMAT_DEP_02,0.87,-4.74,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.37,-0.85,1,None
BATCH_A1,W_1,AMAT_DEP_02,-0.54,1.65,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.13,-3.76,1,None
BATCH_A1,W_1,AMAT_DEP_02,5.93,3.76,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.0,8.68,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.8,-8.3,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.55,2.4,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.19,9.54,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-8.5,-2.67,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-3.96,3.2,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.55,2.11,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.44,-0.91,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.62,-0.01,1,None
BATCH_A1,W_1,AMAT_DEP_02,-6.75,-3.96,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.36,2.71,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.31,-1.31,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.18,2.98,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.95,1.23,1,None
BATCH_A1,W_1,AMAT_DEP_02,7.28,3.65,1,None
BATCH_A1,W_1,AMAT_DEP_02,-7.13,1.41,1,None
BATCH_A1,W_1,AMAT_DEP_02,4.34,-3.83,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-6.85,4.22,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.28,4.02,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.84,-8.86,1,None
BATCH_A1,W_1,AMAT_DEP_02,2.35,-4.6,1,None
BATCH_A1,W_1,AMAT_DEP_02,-4.0,4.25,1,None
BATCH_A1,W_1,AMAT_DEP_02,6.28,-4.65,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.74,-9.64,1,None
BATCH_A1,W_1,AMAT_DEP_02,-1.89,-8.73,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.67,7.04,1,None
BATCH_A1,W_1,AMAT_DEP_02,-5.08,0.21,1,None
BATCH_A1,W_1,AMAT_DEP_02,9.77,1.2,0,Scratch
BATCH_A1,W_1,AMAT_DEP_02,-4.03,6.6,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.22,5.18,1,None
BATCH_A1,W_1,AMAT_DEP_02,3.7,-7.45,0,Contamination
BATCH_A1,W_1,AMAT_DEP_02,-1.75,-5.72,1,None
BATCH_A1,W_1,AMAT_DEP_02,1.32,-1.59,1,None
BATCH_A1,W_1,AMAT_DEP_02,-2.87,3.86,1,None
